./HIPE-results/output-hipe-8/output-hipe-flair-ner-german/
Micro-Precision,Micro-Recall,Micro-F1,TP,FP,FN
0.6978723404255319,0.6666666666666666,0.6819126819126814,164.0,71.0,82.0
0.746268656716418,0.9090909090909091,0.8196721311475405,50.0,17.0,5.0
0.0,0.0,0.0,0.0,15.0,59.0
0.0,0.0,0.0,0.0,7.0,3.0
0.7808219178082192,0.8837209302325582,0.8290909090909085,114.0,32.0,15.0
0.6638297872340425,0.6341463414634146,0.6486486486486481,156.0,79.0,90.0
0.7164179104477612,0.8727272727272727,0.7868852459016387,48.0,19.0,7.0
0.0,0.0,0.0,0.0,15.0,59.0
0.0,0.0,0.0,0.0,7.0,3.0
0.7397260273972602,0.8372093023255814,0.785454545454545,108.0,38.0,21.0
"
"
./HIPE-results/output-hipe-8/output-hipe-germaNER/
Micro-Precision,Micro-Recall,Micro-F1,TP,FP,FN
0.5797101449275363,0.3252032520325203,0.4166666666666662,80.0,58.0,166.0
0.6590909090909091,0.5272727272727272,0.5858585858585853,29.0,15.0,26.0
0.4230769230769231,0.1864406779661017,0.2588235294117643,11.0,15.0,48.0
0.0,0.0,0.0,0.0,0.0,3.0
0.5882352941176471,0.31007751937984496,0.4060913705583752,40.0,28.0,89.0
0.4420289855072464,0.24796747967479674,0.31770833333333287,61.0,77.0,185.0
0.6136363636363636,0.4909090909090909,0.545454545454545,27.0,17.0,28.0
0.0,0.0,0.0,0.0,26.0,59.0
0.0,0.0,0.0,0.0,0.0,3.0
0.5,0.26356589147286824,0.3451776649746189,34.0,34.0,95.0
"
"
./HIPE-results/output-hipe-8/output-hipe-sequence_tagging/
Micro-Precision,Micro-Recall,Micro-F1,TP,FP,FN
0.795774647887324,0.45934959349593496,0.5824742268041231,113.0,29.0,133.0
0.8857142857142857,0.5636363636363636,0.6888888888888884,31.0,4.0,24.0
0.0,0.0,0.0,0.0,8.0,59.0
0.0,0.0,0.0,0.0,0.0,3.0
0.8282828282828283,0.6356589147286822,0.7192982456140345,82.0,17.0,47.0
0.7253521126760564,0.4186991869918699,0.530927835051546,103.0,39.0,143.0
0.8857142857142857,0.5636363636363636,0.6888888888888884,31.0,4.0,24.0
0.0,0.0,0.0,0.0,8.0,59.0
0.0,0.0,0.0,0.0,0.0,3.0
0.7272727272727273,0.5581395348837209,0.6315789473684206,72.0,27.0,57.0
"
"
./HIPE-results/output-hipe-8/output-hipe-2overlap/
Micro-Precision,Micro-Recall,Micro-F1,TP,FP,FN
0.7831325301204819,0.5284552845528455,0.631067961165048,130.0,36.0,116.0
0.9142857142857143,0.5818181818181818,0.7111111111111106,32.0,3.0,23.0
0.5636363636363636,0.5254237288135594,0.5438596491228065,31.0,24.0,28.0
0.0,0.0,0.0,0.0,0.0,3.0
0.881578947368421,0.5193798449612403,0.6536585365853653,67.0,9.0,62.0
0.7530120481927711,0.508130081300813,0.6067961165048538,125.0,41.0,121.0
0.9142857142857143,0.5818181818181818,0.7111111111111106,32.0,3.0,23.0
0.5636363636363636,0.5254237288135594,0.5438596491228065,31.0,24.0,28.0
0.0,0.0,0.0,0.0,0.0,3.0
0.8157894736842105,0.4806201550387597,0.6048780487804872,62.0,14.0,67.0
"
"
