TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
er	O	O	O	O	O	O	_	_	_
bleibt	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
Sonntag	O	O	O	O	O	O	_	_	_
hier	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
fährt	O	O	O	O	O	O	_	_	_
Montag	O	O	O	O	O	O	_	_	_
Eüch	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
heim	O	O	O	O	O	O	_	_	_
Andenken	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
Alles	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
abgewickelt	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
kommt	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
etwas	O	O	O	O	O	O	_	_	_
anderes	O	O	O	O	O	O	_	_	_
dazwischen	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Radtmuß	B-OTH	O	O	O	O	O	_	_	_
zum	I-OTH	O	O	O	O	O	_	_	_
1	I-OTH	O	O	O	O	O	_	_	_
Octo	I-OTH	O	O	O	O	O	_	_	_
ber	I-OTH	O	O	O	O	O	_	_	_
d	I-OTH	O	O	O	O	O	_	_	_
J	I-OTH	O	O	O	O	O	_	_	_
Soldat	I-OTH	O	O	O	O	O	_	_	_
werden	I-OTH	O	O	O	O	O	_	_	_
Jeden	I-OTH	O	O	O	O	O	_	_	_
falls	O	O	O	O	O	O	_	_	_
lasse	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
ihn	O	O	O	O	O	O	_	_	_
hier	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Neu	O	O	O	O	O	O	_	_	_
Flächen	O	O	O	O	O	O	_	_	_
damit	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
ihn	O	O	O	O	O	O	_	_	_
wenigstens	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
Erben	O	O	O	O	O	O	_	_	_
Das	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Strich	O	O	O	O	O	O	_	_	_
durch	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Rechnung	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
hatte	O	O	O	O	O	O	_	_	_
geglaubt	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
tauglich	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
würde	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
letzten	O	O	O	O	O	O	_	_	_
Jahre	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
entwickelt	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
zimlich	O	O	O	O	O	O	_	_	_
stark	O	O	O	O	O	O	_	_	_
gewor	B-OTH	O	O	O	O	O	_	_	_
den	I-OTH	O	O	O	O	O	_	_	_
Über	I-OTH	O	O	O	O	O	_	_	_
die	I-OTH	O	O	O	O	O	_	_	_
Stadt	I-OTH	O	O	O	O	O	_	_	_
angelegen	I-OTH	O	O	O	O	O	_	_	_
seiten	I-OTH	O	O	O	O	O	_	_	_
wird	I-OTH	O	O	O	O	O	_	_	_
Ihnen	I-OTH	O	O	O	O	O	_	_	_
meine	I-OTH	O	O	O	O	O	_	_	_
Frau	I-OTH	O	O	O	O	O	_	_	_
ausführlichen	I-OTH	O	O	O	O	O	_	_	_
Bescheid	I-OTH	O	O	O	O	O	_	_	_
geben	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
tüchtig	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Schreibe	B-OTH	O	O	O	O	O	_	_	_
wen	I-OTH	O	O	O	O	O	_	_	_
Neustadt	I-OTH	O	O	O	O	O	_	_	_
Schlos	I-OTH	O	O	O	O	O	_	_	_
den	I-OTH	O	O	O	O	O	_	_	_
3	I-OTH	O	O	O	O	O	_	_	_
September	I-OTH	O	O	O	O	O	_	_	_
1912	I-OTH	O	O	O	O	O	_	_	_
Liebe	I-OTH	O	O	O	O	O	_	_	_
Thekla	I-OTH	O	O	O	O	O	_	_	_
wohl	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
oft	O	O	O	O	O	O	_	_	_
daran	O	O	O	O	O	O	_	_	_
erinnert	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Briefschreiben	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
tief	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Ihrer	O	O	O	O	O	O	_	_	_
Schuldstehe	O	O	O	O	O	O	_	_	_
bin	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
bisher	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
immer	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
dazugekom	O	O	O	O	O	O	_	_	_
men	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
einmal	O	O	O	O	O	O	_	_	_
einige	O	O	O	O	O	O	_	_	_
Zeilen	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
schreiben	O	O	O	O	O	O	_	_	_
Heute	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
fast	O	O	O	O	O	O	_	_	_
vorgenommen	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
meiner	O	O	O	O	O	O	_	_	_
alten	O	O	O	O	O	O	_	_	_
Schuld	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
entle	O	O	O	O	O	O	_	_	_
digen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
unser	O	O	O	O	O	O	_	_	_
getziges	O	O	O	O	O	O	_	_	_
Er	O	O	O	O	O	O	_	_	_
gehen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
Neustadt	B-LOC	O	O	O	O	O	_	_	_
5	I-LOC	O	O	O	O	O	_	_	_
An	B-OTH	O	O	O	O	O	_	_	_
Gelegenheiten	I-OTH	O	O	O	O	O	_	_	_
etwas	I-OTH	O	O	O	O	O	_	_	_
schreiben	I-OTH	O	O	O	O	O	_	_	_
dieses	I-OTH	O	O	O	O	O	_	_	_
Jahr	I-OTH	O	O	O	O	O	_	_	_
bin	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
nicht	I-OTH	O	O	O	O	O	_	_	_
ins	I-OTH	O	O	O	O	O	_	_	_
Bad	I-OTH	O	O	O	O	O	_	_	_
gegangen	I-OTH	O	O	O	O	O	_	_	_
weil	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
es	I-OTH	O	O	O	O	O	_	_	_
ja	I-OTH	O	O	O	O	O	_	_	_
jetzt	I-OTH	O	O	O	O	O	_	_	_
so	I-OTH	O	O	O	O	O	_	_	_
gut	I-OTH	O	O	O	O	O	_	_	_
habe	I-OTH	O	O	O	O	O	_	_	_
wie	I-OTH	O	O	O	O	O	_	_	_
im	I-OTH	O	O	O	O	O	_	_	_
de	I-OTH	O	O	O	O	O	_	_	_
denn	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
Her	O	O	O	O	O	O	_	_	_
genlicht	O	O	O	O	O	O	_	_	_
spazieren	O	O	O	O	O	O	_	_	_
gehen	O	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
ganz	O	O	O	O	O	O	_	_	_
4	O	O	O	O	O	O	_	_	_
