System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.917	0.647	0.759				11	1	6
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	OTH	1.0	0.667	0.8				4	0	2
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.875	0.636	0.737				7	1	4
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.917	0.647	0.759				11	1	6
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	OTH	1.0	0.667	0.8				4	0	2
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.875	0.636	0.737				7	1	4
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.917	0.647	0.759	0.0	0.0	0.0			
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	OTH	1.0	0.667	0.8	0.0	0.0	0.0			
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PER	0.875	0.636	0.737	0.0	0.0	0.0			
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.917	0.647	0.759	0.0	0.0	0.0			
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	OTH	1.0	0.667	0.8	0.0	0.0	0.0			
l9191208-tl0169-2a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PER	0.875	0.636	0.737	0.0	0.0	0.0			
