System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
l9xxxxxx-tl2055-1a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.571	0.667	0.615				4	3	2
l9xxxxxx-tl2055-1a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	OTH	0.333	1.0	0.5				1	2	0
l9xxxxxx-tl2055-1a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.75	0.6	0.667				3	1	2
l9xxxxxx-tl2055-1a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.571	0.667	0.615				4	3	2
l9xxxxxx-tl2055-1a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	OTH	0.333	1.0	0.5				1	2	0
l9xxxxxx-tl2055-1a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.75	0.6	0.667				3	1	2
l9xxxxxx-tl2055-1a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.571	0.667	0.615	0.0	0.0	0.0			
l9xxxxxx-tl2055-1a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	OTH	0.333	1.0	0.5	0.0	0.0	0.0			
l9xxxxxx-tl2055-1a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PER	0.75	0.6	0.667	0.0	0.0	0.0			
l9xxxxxx-tl2055-1a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.571	0.667	0.615	0.0	0.0	0.0			
l9xxxxxx-tl2055-1a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	OTH	0.333	1.0	0.5	0.0	0.0	0.0			
l9xxxxxx-tl2055-1a-pdf-2overlap_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PER	0.75	0.6	0.667	0.0	0.0	0.0			
